"Gene","Module"
"ZNF207","turquoise"
"CCNO","darkred"
"FAM175B","red"
"AL441883.1","black"
"CDRT15","grey"
"GFI1B","grey"
"NDFIP1","yellow"
"TPST1","cyan"
"PHF7","midnightblue"
"ARPP21","magenta"
"KSR2","turquoise"
"EFR3A","pink"
"CTBP1","blue"
"PLRG1","mediumpurple3"
"ZNF837","yellow"
"WFIKKN2","yellow"
"NKX6-3","grey"
"ILF2","red"
"RPS12","red"
"JKAMP","grey"
"LYRM2","red"
"BCAM","black"
"GOLGA8B","red"
"SSBP3-AS1","cyan"
"RGL2","brown"
"MIEN1","pink"
"LRRC6","salmon"
"PYCR2","purple"
"MMGT1","red"
"RPRD2","turquoise"
"GDAP2","yellow"
"MYOG","grey"
"PLBD2","saddlebrown"
"SPCS1","yellow"
"RAB30","darkgrey"
"CTSW","grey"
"KLHL14","skyblue"
"AC018867.1","grey"
"TCERG1L","pink"
"KCNC4","steelblue"
"AP000349.1","purple"
"FOXA2","violet"
"PISD","darkgrey"
"MSLN","darkgreen"
"C16orf74","blue"
"ADO","plum2"
"LRRC63","red"
"AP001816.1","yellowgreen"
"RAB1A","turquoise"
"H2BFM","yellow"
"FAM134A","darkturquoise"
"GPR113","turquoise"
"MCOLN2","violet"
"HIST1H1A","grey"
"MPRIP","darkred"
"CNNM3","brown"
"TCTEX1D1","grey"
"TRAPPC4","blue"
"FNDC3B","darkturquoise"
"RGS19","blue"
"LYPD5","turquoise"
"TBX20","green"
"ATG2A","orangered4"
"TMEM41A","pink"
"DGAT2","purple"
"TPR","orange"
"AC037199.1","midnightblue"
"FSCN3","greenyellow"
"SLC25A48","pink"
"AC087239.1","magenta"
"SLC25A17","brown"
"WDR59","turquoise"
"CHML","blue"
"PCDHA4","turquoise"
"ATP6V1F","salmon"
"ZC3H12C","paleturquoise"
"DDX24","greenyellow"
"XKR4","blue"
"ICA1","red"
"IQSEC1","brown"
"CRH","grey"
"SLC47A2","darkgreen"
"CACNA1G","greenyellow"
"AQP5","blue"
